Name,Description,Link to Component Page,Link to File,Quantity,Link to Source,Notes
Camera,PS3 eye camera,,,1,https://www.amazon.com/Sony-PlayStation-Camera-Bulk-Packaging-Pc/dp/B0072I2240/ref=sr_1_3?dchild=1&keywords=ps3+eye&qid=1623267585&sr=8-3,
Tubing Fitting,Feed to Sphere Holder,,,1,https://www.mcmaster.com/51235K107/,
"M3 Screws, 6 mm","M3 x 0.5 thread, 6 mm length. Socket head.",,,,https://www.amazon.com/iExcell-M3-P0-5-Stainless-Socket-Assortment/dp/B07HQC1CYF/ref=sr_1_2?dchild=1&keywords=Screws&pd_rd_r=f0fbe043-6887-47a1-906d-1af80e02e983&pd_rd_w=KOyZU&pd_rd_wg=jEsS4&pf_rd_p=b4950e17-f2f6-494c-bba5-69a9d0aa3887&pf_rd_r=E2AQVHN5H9G4JWFFWWP6&pid=eogsvs9&qid=1626199419&refinements=p_n_feature_fourteen_browse-bin%3A11434052011&s=industrial&sr=1-2&th=1,Screw included in set; also can be purchased individually through McMaster-Carr. Also used in tethering setup. 
"M3 Screws, 8 mm","M3 x 0.5 thread, 8 mm length. Socket head.",,,,https://www.amazon.com/iExcell-M3-P0-5-Stainless-Socket-Assortment/dp/B07HQC1CYF/ref=sr_1_2?dchild=1&keywords=Screws&pd_rd_r=f0fbe043-6887-47a1-906d-1af80e02e983&pd_rd_w=KOyZU&pd_rd_wg=jEsS4&pf_rd_p=b4950e17-f2f6-494c-bba5-69a9d0aa3887&pf_rd_r=E2AQVHN5H9G4JWFFWWP6&pid=eogsvs9&qid=1626199419&refinements=p_n_feature_fourteen_browse-bin%3A11434052011&s=industrial&sr=1-2&th=1,Screw included in set; also can be purchased individually through McMaster-Carr.
"M3 Screws, 10 mm","M3 x 0.5 thread, 10 mm length. Socket head.",,,,https://www.amazon.com/iExcell-M3-P0-5-Stainless-Socket-Assortment/dp/B07HQC1CYF/ref=sr_1_2?dchild=1&keywords=Screws&pd_rd_r=f0fbe043-6887-47a1-906d-1af80e02e983&pd_rd_w=KOyZU&pd_rd_wg=jEsS4&pf_rd_p=b4950e17-f2f6-494c-bba5-69a9d0aa3887&pf_rd_r=E2AQVHN5H9G4JWFFWWP6&pid=eogsvs9&qid=1626199419&refinements=p_n_feature_fourteen_browse-bin%3A11434052011&s=industrial&sr=1-2&th=1,Screw included in set; also can be purchased individually through McMaster-Carr. Also used in tethering setup. 
"M3 Screws, 40 mm","M3 x 0.5 thread, 40 mm length. Hex head.",,,,https://www.mcmaster.com/91287A028/,Also used in tethering setup.
M3 Locking nuts,M3 x 0.5 nylock nut,,,,https://www.mcmaster.com/90576A102/,Also used in tethering setup.
M3 Nuts,M3 x 0.5 hex nut,,,,https://www.mcmaster.com/90592A085/,Also used in tethering setup.
M3 Washers,"M3, nylon, black",,,,https://www.mcmaster.com/95610A530/,Also used in tethering setup.
M6 Screws,"M6 x 1mm thread, 12 mm length. Socket head.",,,,https://www.mcmaster.com/91274A138/,
M6 Nuts,M6 x 1 mm hex nut,,,,https://www.mcmaster.com/90592A016/,
M6 Washers,"M6, zinc plated steel",,,,https://www.mcmaster.com/91166A250/,
Lens,25 mm M12 Lens,,,1,http://www.m12lenses.com/25mm-F2-4-5MP-CCTV-Lens-p/pt-2524mp5y.htm,
Lens Holder,M12 Lens Holder,,,1,http://www.m12lenses.com/M12-Lens-Holder-Plastic-p/pt-lh001p.htm,
Lens Extension,M12 Macro Extension,,,1,http://www.m12lenses.com/7mm-Metal-Extension-Ring-for-M12-Mount-p/pt-erm12-700m.htm,
Heat Pad Baseplate,Laser-cut from 3 mm black acrylic. ,https://reiserlab.github.io/Component-Designs/miscellaneous/baseplate,https://github.com/reiserlab/Component-Designs/blob/main/Miscellaneous/Baseplate/heat_baseplate_sketch.svg,1,https://www.ponoko.com/designs,"Set all lines to ""cut."""
Baseplate,Laser-cut from 5.6 mm black acrylic.,https://reiserlab.github.io/Component-Designs/miscellaneous/baseplate,https://github.com/reiserlab/Component-Designs/blob/main/Miscellaneous/Baseplate/baseplate_sketch.svg,1,https://www.ponoko.com/designs,"Set all lines to ""cut."""
Camera Case Stand,"3D printed, mm scale. ",https://reiserlab.github.io/Component-Designs/walking/stands#stand-camera-case,https://github.com/reiserlab/Component-Designs/blob/main/Walking-Setup/Stand_Camera-Case/production/Stand_Camera-Case.stl,1,https://craftcloud3d.com/upload,
Sphere Holder,"3D printed, INCHES scale. ",https://reiserlab.github.io/Component-Designs/walking/sphere-holder,https://github.com/reiserlab/Component-Designs/blob/main/Walking-Setup/Treadmill_Sphere_Holder/production/Treadmill_Sphere_Holder_9mm-ball_90deg.stl,1,https://craftcloud3d.com/upload,"Print from resin, ABS + acetone polish, or use print finisher. "
Sphere Holder Stand,"3D printed, mm scale. ",https://reiserlab.github.io/Component-Designs/walking/stands#stand-sphere-holder,https://github.com/reiserlab/Component-Designs/blob/main/Walking-Setup/Stand_Treadmill_Sphere_Holder/production/Stand_Treadmill_Sphere-holder.stl,1,https://craftcloud3d.com/upload,
Sphere Holder Stand Foot,"3D printed, mm scale. ",https://reiserlab.github.io/Component-Designs/walking/stands#stand-sphere-holder,https://github.com/reiserlab/Component-Designs/blob/main/Walking-Setup/Stand_Treadmill_Sphere_Holder/production/Stand_Treadmill_Sphere-holder_Foot.stl,4,https://craftcloud3d.com/upload,
"Lamp Post, 41 mm","3D printed, mm scale. ",https://reiserlab.github.io/Component-Designs/walking/illumination,https://github.com/reiserlab/Component-Designs/blob/main/Walking-Setup/Lamp_LED_5mm/production/Lamp-Post-41mm.stl,3-Jan,https://craftcloud3d.com/upload,Mix and match lamp post lengths.
"Lamp Post, 61 mm","3D printed, mm scale. ",https://reiserlab.github.io/Component-Designs/walking/illumination,https://github.com/reiserlab/Component-Designs/blob/main/Walking-Setup/Lamp_LED_5mm/production/Lamp-Post-61mm.stl,3-Jan,https://craftcloud3d.com/upload,Mix and match lamp post lengths.
"Lamp Post, 101 mm","3D printed, mm scale. ",https://reiserlab.github.io/Component-Designs/walking/illumination,https://github.com/reiserlab/Component-Designs/blob/main/Walking-Setup/Lamp_LED_5mm/production/Lamp-Post-101mm.stl,3-Jan,https://craftcloud3d.com/upload,Mix and match lamp post lengths.
Lamp Shades,"3D printed, mm scale. ",https://reiserlab.github.io/Component-Designs/walking/illumination,https://github.com/reiserlab/Component-Designs/blob/main/Walking-Setup/Lamp_LED_5mm/production/Lamp_shade.stl,1 per lamp post,https://craftcloud3d.com/upload,"3D printed, mm scale. One shade per lamp post."
Micromanipulator Bottom Rail,"3D printed, mm scale. ",https://reiserlab.github.io/Component-Designs/tether/micromanipulator,https://github.com/reiserlab/Component-Designs/blob/main/Tethering/MicroManipulator/production/MicroManipulator_Rail_bottom.stl,1,https://craftcloud3d.com/upload,Identical to tethering setup micromanipulator part.
Micromanipulator Center Rail,"3D printed, mm scale. ",https://reiserlab.github.io/Component-Designs/tether/micromanipulator,https://github.com/reiserlab/Component-Designs/blob/main/Tethering/MicroManipulator/production/MicroManipulator_Rail_center.stl,1,https://craftcloud3d.com/upload,Identical to tethering setup micromanipulator part.
Micromanipulator Top Rail,"3D printed, mm scale. ",https://reiserlab.github.io/Component-Designs/tether/micromanipulator,https://github.com/reiserlab/Component-Designs/blob/main/Tethering/MicroManipulator/production/MicroManipulator_Rail_top.stl,1,https://craftcloud3d.com/upload,Identical to tethering setup micromanipulator part.
Micromanipulator Top Slider,"3D printed, mm scale. ",https://reiserlab.github.io/Component-Designs/tether/micromanipulator,https://github.com/reiserlab/Component-Designs/blob/main/Tethering/MicroManipulator/production/MicroManipulator_Carriage_Hinge_top.stl,1,https://craftcloud3d.com/upload,Identical to tethering setup micromanipulator part.
Micromanipulator Handle,"3D printed, mm scale. ",https://reiserlab.github.io/Component-Designs/tether/micromanipulator,https://github.com/reiserlab/Component-Designs/blob/main/Tethering/MicroManipulator/production/MicroManipulator_Handle2.stl,3,https://craftcloud3d.com/upload,Identical to tethering setup micromanipulator part.
Micromanipulator Carriage Bottom/Center,"3D printed, mm scale. ",https://reiserlab.github.io/Component-Designs/tether/micromanipulator,https://github.com/reiserlab/Component-Designs/blob/main/Tethering/MicroManipulator/production/MicroManipulator_Carriage_bottom-center.stl,1,https://craftcloud3d.com/upload,Identical to tethering setup micromanipulator part.
Micromanipulator Stand,"3D printed, mm scale. ",https://reiserlab.github.io/Component-Designs/walking/stands#stand-micromanipulator,https://github.com/reiserlab/Component-Designs/blob/main/Walking-Setup/Stand_MicroManipulator/production/Stand_MicroManipulator-Stand.stl,1,https://craftcloud3d.com/upload,Identical to tethering setup micromanipulator part.
Micromanipulator Arena Arm,"3D printed, mm scale. ",https://reiserlab.github.io/Component-Designs/tether/micromanipulator,https://github.com/reiserlab/Component-Designs/blob/main/Tethering/MicroManipulator/production/MicroManipulator_Arm_Arena.stl,1,https://craftcloud3d.com/upload,NOT identical to tethering setup micromanipulator arm.
"Micromanipulator Arena Arm, Tilted","3D printed, mm scale. ",https://reiserlab.github.io/Component-Designs/tether/micromanipulator,https://github.com/reiserlab/Component-Designs/blob/main/Tethering/MicroManipulator/production/MicroManipulator_Arm_tilted_Arena.stl,1,https://craftcloud3d.com/upload,NOT identical to tethering setup micromanipulator arm.
Tube Roller Clamp,"3D printed, mm scale. ",,https://www.thingiverse.com/thing:174398,1,https://craftcloud3d.com/upload,Identical to tethering setup roller clamp. 
